,Symbol,MarketCapitalization,BookValue,EPS,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,TrailingPE,Beta,fiscalDateEnding,totalRevenue,operatingIncome,operatingExpenses,netIncome,totalAssets,totalLiabilities,totalShareholderEquity,DividendPerShare,DividendYield,PEGRatio,currentDebt
0,MMM,51511656000,8.7,-12.63,15000000000,-12.63,0.744,-0.008,-,1.016,2023-12-31,32681000000.0,-9128000000,22972000000.0,-6995000000,50580000000,45712000000,4807000000,6.0,0.065,4.153,2947000000
1,AOS,11934819000,12.34,3.69,1329600000,3.69,0.268,0.056,21.83,1.242,2022-12-31,3744500000.0,362000000,772700000.0,235700000,3332300000,1584600000,1747700000,1.22,0.0159,1.984,10000000
2,ABT,195185590000,21.59,3.26,24579000000,3.26,0.553,0.015,34.3,0.745,2022-12-31,43093000000.0,8362000000,16266000000.0,6933000000,74438000000,37752000000,36686000000,2.08,0.0197,26.92,2251000000
3,ABBV,308598571000,6.85,2.72,41527000000,2.72,-0.668,-0.054,64,0.542,2022-12-31,58054000000.0,18117000000,30754000000.0,11836000000,138805000000,121551000000,17254000000,5.99,0.0356,1.622,4136000000
4,ACN,233034121000,42.55,10.78,20731607000,10.78,0.006,0.03,34.48,1.205,2023-08-31,64111745000.0,8809889000,13673580000.0,6871557000,51245305000,25552466000,25692839000,4.82,0.0139,2.508,104810000
5,ADBE,283498938000,36.3,11.79,15441000000,11.79,0.278,0.116,53.2,1.335,2023-12-01,19409000000.0,6650000000,10405000000.0,5428000000,29779000000,13261000000,16518000000,0.0065,91784.61162860578,2.335,0
6,AMD,278691447000,34.59,0.53,12051000000,0.53,48.69,0.102,325.43,1.629,2023-12-31,22875000000.0,401000000,11688000000.0,854000000,67885000000,11993000000,55892000000,0.0,0.0,0.7,751000000
7,AES,11022092000,2.899,-0.84,2548000000,-0.84,-0.458,-0.053,-,1.092,2022-12-31,12617000000.0,-530000000,3019000000.0,-546000000,38363000000,35926000000,2437000000,0.664,0.0407,1.256,6000000
8,AFL,45254410000,38.01,7.78,8080000000,7.78,0.541,-0.058,10.06,0.927,2022-12-31,19502000000.0,4157000000,5745000000.0,4201000000,131738000000,111598000000,20140000000,1.68,0.0256,0.93,9285999616.0
9,A,39287828000,20.01,4.19,3465000000,4.19,0.313,-0.087,31.82,1.109,2023-10-31,6784000000.0,1350000000,2554000000.0,1240000000,10763000000,4918000000,5845000000,0.9,0.0071,2.561,0
10,APD,48886260000,66.91,10.46,3767000000,10.46,0.062,-0.056,21.02,0.861,2023-09-30,12600000000.0,2494600000,1368400000.0,2300200000,32002500000,16342200000,14312900000,7.0,0.0319,1.269,874500000
11,ABNB,94597472000,14.28,8.22,6900000000,8.22,2.71,0.178,17.96,1.237,2022-12-31,8337000000.0,1802000000,4297100000.0,1893000000,16038000000,10478000000,5560000000,0.0,0.0,1.565,2304000000.0
12,AKAM,19354763000,28.64,3.31,2237817000,3.31,0.334,0.095,38.77,0.763,2022-12-31,3631301000.0,676274000,1563041000.0,523672000,8303400000,3943213000,4360187000,0.0,0.0,1.28,4535979008.0
13,ALB,13587130000,84.34,28.22,3077787000,28.22,-0.662,0.105,4.103,1.606,2022-12-31,7320104000.0,2470061000,650865000.0,2689816000,15456522000,7473895000,7982627000,1.595,0.0138,1.093,7123000
14,ARE,20625965000,107.45,0.53,1806454000,0.53,-0.939,0.13,219.25,1.067,2023-12-31,5897177000.0,1530115000,1753941000.0,103639000,36771402000,14148409000,18471175000,4.96,0.0437,844.2,11698525184.0
15,ALGN,22698713000,47.96,5.81,2636675000,5.81,2.074,0.061,51.01,1.64,2022-12-31,3734635000.0,642595000,1991180000.0,361573000,5947947000,2346589000,3601358000,0.0,0.0,1.846,96968000.0
16,ALLE,11580063000,14.04,6.32,1322400000,6.32,0.362,0.005,20.87,1.148,2022-12-31,3186000000.0,586400000,870400000.0,458000000,3991200000,3046700000,941800000,1.76,0.0146,1.677,12600000
17,LNT,12230730000,26.36,2.73,1709000000,2.73,0.133,-0.051,17.56,0.546,2022-12-31,4205000000.0,928000000,1506000000.0,686000000,20163000000,13887000000,6276000000,1.785,0.0401,2.462,1055000000
18,ALL,42458841000,60.07,-1.2,6443000000,-1.2,-0.676,0.087,-,0.516,2022-12-31,51412000000.0,36317000000,7943000000.0,-1311000000,97989000000,80626000000,17488000000,3.56,0.0222,3.397,8208000000.0
19,GOOGL,1821525017000,22.74,5.8,156633000000,5.8,0.56,0.135,25.69,1.058,2023-12-31,305559000000.0,84293000000,93702000000.0,73795000000,402392000000,119013000000,283379000000,0.0,0.0,1.438,1363000000
20,GOOG,1821642850000,22.74,5.8,156633000000,5.8,0.56,0.135,25.9,1.058,2023-12-31,305559000000.0,84293000000,93702000000.0,73795000000,402392000000,119013000000,283379000000,0.0,0.0,1.45,1363000000
21,MO,70732382000,-2.003,4.57,14183000000,4.57,-0.227,-0.012,8.78,0.688,2022-12-31,24038000000.0,11919000000,235000000.0,5764000000,36954000000,40877000000,-3973000000,3.84,0.0977,6.31,1556000000
22,AMZN,1812081803000,19.44,2.9,225152000000,2.9,50.69,0.139,60.16,1.142,2023-12-31,571668000000.0,36852000000,84992000000.0,30425000000,527854000000,325979000000,201875000000,0.0,0.0,2.54,10526000000
23,AMCR,13239318000,2.745,0.44,2725000000,0.44,-0.7,-0.107,20.68,0.858,2023-06-30,14601000000.0,1508000000,1833000000.0,1048000000,17003000000,12913000000,4026000000,0.495,0.0549,4.07,93000000
24,AEE,18064321000,42.01,4.41,3343000000,4.41,0.075,-0.112,15.58,0.443,2022-12-31,7957000000.0,1515000000,6442000000.0,1074000000,37904000000,27396000000,10508000000,2.48,0.0367,2.626,1410000000
25,AAL,9781382000,-7.95,1.21,11443000000,1.21,-0.974,-0.01,12.3,1.563,2022-12-31,46971000000.0,1607000000,9439000000.0,127000000,64716000000,70515000000,-5799000000,0.1,137.39999771118164,0.153,3274000000
26,AEP,40313655000,48.15,4.36,8414100000,4.36,0.376,-0.033,17.58,0.494,2022-12-31,19639500000.0,3482700000,16156800000.0,2307200000,93403300000,69235000000,23893400000,3.32,0.0464,2.228,6108600000
27,AXP,153615811000,38.81,11.22,28776000000,11.22,0.263,0.092,18.94,1.225,2023-12-31,67364000000.0,-7972000000,13562000000.0,8374000000,261108000000,233051000000,28057000000,2.4,0.0113,1.444,1293000000
28,AIG,48525005000,56.06,5.76,24968000000,5.76,-0.208,-0.09,12,1.031,2022-12-31,56437000000.0,-7471000000,9791000000.0,10276000000,522228000000,478774000000,40970000000,1.36,0.0208,0.549,1500000000
29,AMT,90641121000,9.72,1.5,7447300000,1.5,-0.301,0.055,129.63,0.68,2022-12-31,10711100000.0,2352300000,4486400000.0,1765800000,67194500000,54786000000,5572400000,6.31,0.035,2.678,7109000000
30,AWK,23792949000,50.83,4.84,2203000000,4.84,0.016,0.079,25.25,0.649,2022-12-31,3782000000.0,1273000000,2519000000.0,820000000,27787000000,20094000000,7693000000,2.725,0.0232,3.048,1456000000
31,AMP,39773389000,37.73,21.16,7844000000,21.16,-0.196,0.135,18.76,1.361,2022-12-31,14347000000.0,3170000000,3768000000.0,2559000000,158852000000,155049000000,3803000000,5.2,0.0136,1.4,4230000128.0
32,AME,38889632000,37.83,5.66,2145269000,5.66,0.113,0.065,29.77,1.216,2022-12-31,6070928000.0,1500692000,1162920000.0,1159542000,12431120000,4954608000,7476512000,1.0,0.0066,2.478,226079000
33,AMGN,157748904000,11.65,12.49,19917000000,12.49,-0.526,0.198,23.31,0.617,2022-12-31,51272000000.0,9566000000,13518000000.0,6552000000,65121000000,61460000000,3661000000,8.52,0.0309,2.077,1591000000
34,APH,63158731000,13.94,3.11,4028200000,3.11,0.011,0.027,33.86,1.308,2023-12-31,12554700000.0,2559600000,1952700000.0,1928000000,16526400000,8099900000,8346500000,0.85,0.0084,5.43,353800000
