,Symbol,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,TrailingPE,Beta,fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,ebit,netIncome,totalAssets,totalLiabilities,currentDebt,totalShareholderEquity,operatingCashflow,capitalExpenditures,profitLoss,dividendPayout
0,MMM,51511656000,-6610999808,None,4.153,8.7,6,0.065,-12.63,15000000000,-12.63,0.744,-0.008,-,1.016,2023-12-31,14204000000,32681000000,18477000000,-9128000000,22972000000,-8744000000,-6995000000,50580000000,45712000000,2947000000,4807000000,6680000000,1615000000,-6979000000,3311000000
1,AOS,11934819000,835700000,21.83,1.984,12.34,1.22,0.0159,3.69,1329600000,3.69,0.268,0.056,21.83,1.242,2022-12-31,1329600000,3744500000,3108000000,362000000,772700000,233100000,235700000,3332300000,1584600000,10000000,1747700000,391400000,70300000,235700000,177200000
2,ABT,195185590000,9933000000,34.3,26.92,21.59,2.08,0.0197,3.26,24579000000,3.26,0.553,0.015,34.3,0.745,2022-12-31,10173000000,43093000000,32920000000,8362000000,16266000000,8864000000,6933000000,74438000000,37752000000,2251000000,36686000000,9581000000,1777000000,15239000000,3309000000
3,ABBV,308598571000,26254332000,64,1.622,6.85,5.99,0.0356,2.72,41527000000,2.72,-0.668,-0.054,64,0.542,2022-12-31,16921000000,58054000000,41133000000,18117000000,30754000000,15698000000,11836000000,138805000000,121551000000,4136000000,17254000000,24943000000,695000000,11845000000,10043000000
4,ACN,233034121000,11303738000,34.48,2.508,42.55,4.82,0.0139,10.78,20731607000,10.78,0.006,0.03,34.48,1.205,2023-08-31,8356684000,64111745000,55755061000,8809889000,13673580000,9054884000,6871557000,51245305000,25552466000,104810000,25692839000,9524268000,528172000,16142862000,2827394000
5,ADBE,283498938000,7268000000,53.2,2.335,36.3,None,None,11.79,15441000000,11.79,0.278,0.116,53.2,1.335,2023-12-01,17055000000,19409000000,2354000000,6650000000,10405000000,6912000000,5428000000,29779000000,13261000000,0,16518000000,7302000000,360000000,5428000000,None
6,AMD,278691447000,3854000000,325.43,0.7,34.59,None,None,0.53,12051000000,0.53,48.69,0.102,325.43,1.629,2023-12-31,10460000000,22875000000,18025000000,401000000,11688000000,614000000,854000000,67885000000,11993000000,751000000,55892000000,1667000000,546000000,854000000,None
7,AES,11022092000,3411000000,None,1.256,2.899,0.664,0.0407,-0.84,2548000000,-0.84,-0.458,-0.053,-,1.092,2022-12-31,2548000000,12617000000,10069000000,-530000000,3019000000,836000000,-546000000,38363000000,35926000000,6000000,2437000000,2715000000,4551000000,-505000000,422000000
8,AFL,45254410000,5307000000,10.06,0.93,38.01,1.68,0.0256,7.78,8080000000,7.78,0.541,-0.058,10.06,0.927,2022-12-31,-3265000000,19502000000,22767000000,4157000000,5745000000,4830000000,4201000000,131738000000,111598000000,None,20140000000,3879000000,None,4201000000,979000000
9,A,39287828000,1677000000,31.82,2.561,20.01,0.9,0.0071,4.19,3465000000,4.19,0.313,-0.087,31.82,1.109,2023-10-31,1300000000,6784000000,5484000000,1350000000,2554000000,1434000000,1240000000,10763000000,4918000000,0,5845000000,1772000000,298000000,1240000000,265000000
10,APD,48886260000,4050800000,21.02,1.269,66.91,7,0.0319,10.46,3767000000,10.46,0.062,-0.056,21.02,0.861,2023-09-30,2496600000,12600000000,10103400000,2494600000,1368400000,3028900000,2300200000,32002500000,16342200000,874500000,14312900000,6253700000,4626400000,2338600000,1496600000
11,ABNB,94597472000,2264900000,17.96,1.565,14.28,None,None,8.22,6900000000,8.22,2.71,0.178,17.96,1.237,2022-12-31,6838000000,8337000000,1499000000,1802000000,4297100000,1802000000,1893000000,16038000000,10478000000,None,5560000000,3430000000,25000000,1893000000,None
12,AKAM,19354763000,1092600000,38.77,1.28,28.64,None,None,3.31,2237817000,3.31,0.334,0.095,38.77,0.763,2022-12-31,2247482000,3631301000,1383819000,676274000,1563041000,661464000,523672000,8303400000,3943213000,None,4360187000,1274676000,458302000,523672000,None
13,ALB,13587130000,2610968000,4.103,1.093,84.34,1.595,0.0138,28.22,3077787000,28.22,-0.662,0.105,4.103,1.606,2022-12-31,3074587000,7320104000,4245517000,2470061000,650865000,2470061000,2689816000,15456522000,7473895000,7123000,7982627000,1907849000,1261646000,2815131000,228637000
14,ARE,20625965000,1734814000,219.25,844.2,107.45,4.96,0.0437,0.53,1806454000,0.53,-0.939,0.13,219.25,1.067,2023-12-31,3284056000,5897177000,2613121000,1530115000,1753941000,1530115000,103639000,36771402000,14148409000,None,18471175000,1630550000,3684046000,280994000,847483000
15,ALGN,22698713000,802219000,51.01,1.846,47.96,None,None,5.81,2636675000,5.81,2.074,0.061,51.01,1.64,2022-12-31,2633775000,3734635000,1100860000,642595000,1991180000,642595000,361573000,5947947000,2346589000,None,3601358000,568732000,291900000,361573000,None
16,ALLE,11580063000,822600000,20.87,1.677,14.04,1.76,0.0146,6.32,1322400000,6.32,0.362,0.005,20.87,1.148,2022-12-31,457600000,3186000000,2728400000,586400000,870400000,590100000,458000000,3991200000,3046700000,12600000,941800000,459500000,64000000,458300000,143900000
17,LNT,12230730000,1565000000,17.56,2.462,26.36,1.785,0.0401,2.73,1709000000,2.73,0.133,-0.051,17.56,0.546,2022-12-31,2830000000,4205000000,1375000000,928000000,1506000000,1033000000,686000000,20163000000,13887000000,1055000000,6276000000,486000000,1576000000,686000000,428000000
18,ALL,42458841000,914666000,None,3.397,60.07,3.56,0.0222,-1.2,6443000000,-1.2,-0.676,0.087,-,0.516,2022-12-31,44260000000,51412000000,7152000000,36317000000,7943000000,-1470000000,-1311000000,97989000000,80626000000,None,17488000000,5121000000,420000000,-1364000000,1031000000
19,GOOGL,1821525017000,100171997000,25.69,1.438,22.74,None,None,5.8,156633000000,5.8,0.56,0.135,25.69,1.058,2023-12-31,172227000000,305559000000,133332000000,84293000000,93702000000,86025000000,73795000000,402392000000,119013000000,1363000000,283379000000,101746000000,32251000000,73795000000,None
20,GOOG,1821642850000,100171997000,25.9,1.45,22.74,None,None,5.8,156633000000,5.8,0.56,0.135,25.9,1.058,2023-12-31,172227000000,305559000000,133332000000,84293000000,93702000000,86025000000,73795000000,402392000000,119013000000,1363000000,283379000000,101746000000,32251000000,73795000000,None
21,MO,70732382000,12322666000,8.78,6.31,-2.003,3.84,0.0977,4.57,14183000000,4.57,-0.227,-0.012,8.78,0.688,2022-12-31,14246000000,24038000000,6331000000,11919000000,235000000,8517000000,5764000000,36954000000,40877000000,1556000000,-3973000000,8256000000,205000000,5764000000,6599000000
22,AMZN,1812081803000,85515002000,60.16,2.54,19.44,None,None,2.9,225152000000,2.9,50.69,0.139,60.16,1.142,2023-12-31,183837000000,571668000000,387831000000,36852000000,84992000000,40707000000,30425000000,527854000000,325979000000,10526000000,201875000000,84946000000,52729000000,30445000000,None
