,Symbol,MarketCapitalization,BookValue,EPS,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,Beta,totalRevenue,operatingIncome,operatingExpenses,netIncome,totalAssets,totalLiabilities,totalShareholderEquity,DividendPerShare,DividendYield,PEGRatio,currentDebt
0,MMM,0.01461147766292037,0.18572593996688821,0.030813408822451226,0.0724550686769535,0.030813408822451226,0.005575594350662884,0.259245960502693,0.30613478392263527,0.05251074630531789,0.1363626545476538,0.15356018751554038,0.08552081959284175,0.0133740381876881,0.013512981911592867,0.07119667921115114,0.30000000000000004,4.038521356474614e-07,0.1623987955170901,0.019270632393233372
1,AOS,0.001922249762427159,0.18790939846917964,0.06405034418149974,0.012118216164683452,0.06405034418149974,0.0040494397152888,0.2822262118491921,0.3744333635539438,0.005126294673926393,0.15686100863134067,0.01893167084109089,0.1491069779712439,0.000479513803609272,0.0004315381746459924,0.061314102046419974,0.061,9.878844548914826e-08,0.16023611055717307,6.539067659733076e-05
2,ABT,0.0606765861981583,0.19345802241044222,0.0631746161052503,0.11473376646304863,0.0631746161052503,0.004963208772182947,0.26750448833034113,0.22423692958597766,0.06956073197691079,0.17414096992422737,0.1128913901742342,0.2080024622960911,0.019885203022280105,0.0111532622783016,0.17417666725889555,0.10400000000000001,1.2239826265007675e-07,0.18509950943245723,0.014719441302059154
3,ABBV,0.09703934966971381,0.18461621517863572,0.062074864567634724,0.18953691606934786,0.062074864567634724,0.0010484297600153896,0.2427289048473968,0.1628890903596253,0.09405985180333237,0.1952117227257411,0.20075442862947485,0.2511190256342611,0.03745181157740558,0.035995240362494435,0.11140471306510749,0.29950000000000004,2.21186708139225e-07,0.15987516451960276,0.027045583840656
4,ACN,0.07281168015621974,0.20603090433572474,0.07848967455500795,0.0977525820062851,0.07848967455500795,0.0032094134243896184,0.27289048473967686,0.3632517376851013,0.1039796045359643,0.1751084079971661,0.09716955844092837,0.20746213780064193,0.013555608751871109,0.007536744703326176,0.1386650267310581,0.24100000000000002,8.636222593076481e-08,0.16075858493199857,0.0006853596814166236
5,ADBE,0.08899184038149707,0.20228183410514192,0.08054661724573338,0.0744015041841743,0.08054661724573338,0.004081501787460524,0.303770197486535,0.40253853127833183,0.03077741843042535,0.17044305820754962,0.07734712813764077,0.19476762080640198,0.007697169224474575,0.0038929741452693807,0.10902718330560625,0.000325,0.5702678680890041,0.16058608862122603,0.0
6,AMD,0.08745045017569134,0.20125608849005447,0.05761476110952711,0.05943910878853148,0.05761476110952711,0.15930040558521297,0.2987432675044883,0.49138712601994566,0.036453105170508045,0.1569452484426435,0.08512793144645316,0.1545442553752803,0.018096802353276778,0.0035170791082074046,0.23621856476022804,0.0,0.0,0.15895584892115025,0.00491083981245954
7,AES,0.0016296088696258098,0.18224620294167046,0.054824650727057965,0.01749585113520003,0.054824650727057965,0.0017217332756216035,0.24308797127468582,0.32910244786944703,0.019655299463708194,0.1549342929471838,0.03255444439727581,0.14223277491975553,0.010039856748162133,0.010611949709157145,0.06354077495840937,0.0332,2.5287356801310274e-07,0.15951023012802618,3.923440595839845e-05
8,AFL,0.012605263257169616,0.2033075797202294,0.07237994379047698,0.04191236185162953,0.07237994379047698,0.004924734285576877,0.2412926391382406,0.2792384406165005,0.030929708928644536,0.1650581902696538,0.04908637722644381,0.1839774875785956,0.0355231334867835,0.03304470147931001,0.12072747242097781,0.084,1.590556103473079e-07,0.1591851792765126,0.060721779777279355
9,A,0.010692242295313048,0.19251025745615089,0.0650686326422549,0.0215432011581512,0.0650686326422549,0.004193719040061559,0.23087971274685817,0.3342399516470233,0.010103573914111433,0.1589950838510122,0.02973443384497826,0.1579387064151607,0.0025074504511238506,0.0014197152381652278,0.07454977145349119,0.045000000000000005,4.411307943226117e-08,0.16081143062258207,0.0
